0	-50.0	0.0000000000	0.0000000000
1	1.0	0.1745329252	1.5533430343
2	2.0	0.0872664626	1.4660765717
3	2.0	0.0872664626	1.5707945815
4	2.0	0.2617993878	1.4660765717
5	2.0	0.2617993878	1.5707945815
6	2.0	0.0872664626	1.4486232792
7	2.0	0.2617993878	1.4486232792
11	-1.0	5.8468529942	1.5533430343
12	0.0	5.7595865316	1.5009831567
13	0.0	5.7595865316	1.5707945815
14	0.0	5.9341194568	1.5009831567
15	0.0	5.9341194568	1.5707945815
16	0.0	5.7595865316	1.4835298642
17	0.0	5.9341194568	1.4835298642
18	0.0	5.7421332391	1.5009831567
19	0.0	5.7421332391	1.5707945815
23	-3.0	5.5850536064	1.5533430343
24	-2.0	0.6981317008	1.5533430343
25	-2.0	0.6108652382	1.4660765717
26	-2.0	0.6108652382	1.5707945815
27	-2.0	5.4977871438	1.5009831567
28	-2.0	5.4977871438	1.5707945815
32	-5.0	0.9599310886	1.5533430343
33	-4.0	0.9599310886	1.5533412889
34	-6.0	0.8726646260	1.4486232792
35	-7.0	1.0471975512	1.4486232792
36	-8.0	0.8552113335	1.4660765717
37	-9.0	1.0646508437	1.4660765717
38	-10.0	1.0646508437	1.5707945815
39	-11.0	0.8552113335	1.4486232792
40	-12.0	1.0646508437	1.4486232792
41	-13.0	5.2359877560	1.4835298642
42	-14.0	5.4105206812	1.4835298642
43	-15.0	5.2185344635	1.5009831567
44	-16.0	5.2185344635	1.5707945815
45	-17.0	5.4279739737	1.5009831567
46	-18.0	5.4279739737	1.5707945815
47	-19.0	5.2185344635	1.4835298642
48	-20.0	5.4279739737	1.4835298642
