0	-50.0	0.0000000000	0.0000000000
1	1.0	6.2482787221	0.2617993878
2	2.0	0.0000000000	0.1745329252
3	2.0	0.0000000000	0.3490658504
4	2.0	0.0523598776	0.1745329252
5	2.0	0.0523598776	0.3490658504
6	2.0	0.0000000000	0.1570796327
7	2.0	0.0000000000	0.3665191429
8	2.0	0.0523598776	0.1570796327
9	2.0	0.0523598776	0.3665191429
10	2.0	6.1435589670	0.1570796327
11	2.0	6.1435589670	0.3665191429
14	-1.0	0.0261799388	0.5235987756
15	0.0	6.1610122595	0.4363323130
16	0.0	6.1610122595	0.6108652382
17	0.0	6.2831851326	0.4363323130
18	0.0	6.2831851326	0.6108652382
19	0.0	6.1610122595	0.4188790205
20	0.0	6.1610122595	0.6283185307
21	0.0	6.2831851326	0.4188790205
22	0.0	6.2831851326	0.6283185307
23	0.0	6.1435589670	0.4363323130
24	0.0	6.1435589670	0.6108652382
28	-3.0	0.0261799388	0.7853981634
29	-2.0	6.2482787221	0.7853981634
30	-2.0	0.0523598776	0.6981317008
31	-2.0	0.0523598776	0.8726646260
32	-2.0	6.1610122595	0.6981317008
33	-2.0	6.1610122595	0.8726646260
34	-2.0	0.0523598776	0.6806784083
35	-2.0	0.0523598776	0.8901179185
36	-2.0	6.1610122595	0.6806784083
37	-2.0	6.1610122595	0.8901179185
38	-2.0	0.0698131701	0.6981317008
39	-2.0	0.0698131701	0.8726646260
40	-2.0	6.1435589670	0.6981317008
41	-2.0	6.1435589670	0.8726646260
42	-2.0	0.0698131701	0.6806784083
43	-2.0	0.0698131701	0.8901179185
44	-2.0	6.1435589670	0.6806784083
45	-2.0	6.1435589670	0.8901179185
49	-5.0	6.2482787221	1.0471975512
50	-4.0	6.2482787221	1.0471958059
51	-4.0	0.0523598776	0.9599310886
52	-4.0	0.0523598776	1.1344640138
53	-4.0	6.1610122595	0.9599310886
54	-4.0	6.1610122595	1.1344640138
55	-6.0	0.0523598776	0.9424777961
56	-6.0	0.0523598776	1.1519173063
57	-6.0	6.1610122595	0.9424777961
58	-6.0	6.1610122595	1.1519173063
59	-6.0	0.0698131701	0.9599310886
60	-6.0	0.0698131701	1.1344640138
61	-6.0	6.1435589670	0.9599310886
62	-6.0	6.1435589670	1.1344640138
63	-6.0	0.0698131701	0.9424777961
64	-6.0	0.0698131701	1.1519173063
65	-6.0	6.1435589670	0.9424777961
66	-6.0	6.1435589670	1.1519173063
